tweet_id,retweet_count,favorite_count
873213775632977920,1583,7185
872967104147763200,5392,27158
872820683541237760,3690,14605
872620804844003328,3694,20629
872486979161796608,8999,40383
872261713294495745,6319,33971
872122724285648897,8116,34251
871879754684805121,11188,37803
871762521631449091,3477,20162
871515927908634625,3456,20117
871032628920680449,3821,22557
870804317367881728,6227,33474
870656317836468226,2658,12366
870374049280663552,26331,82438
870308999962521604,4173,21763
870063196459192321,8401,36593
869772420881756160,10090,42325
869702957897576449,6379,28205
869596645499047938,3149,15955
869227993411051520,3810,20415
868880397819494401,14625,65650
868622495443632128,5842,27216
868552278524837888,2114,10152
867900495410671616,4216,24215
867774946302451713,7417,34063
867421006826221569,2536,16155
867051520902168576,7961,32337
866686824827068416,3531,19409
866450705531457537,35762,122815
866334964761202691,14670,52836
865718153858494464,5697,25760
865359393868664832,5081,26642
865006731092295680,7812,28202
864873206498414592,8872,32505
864279568663928832,3092,14732
864197398364647424,9111,30393
863907417377173506,4219,20792
863553081350529029,4253,15432
863432100342583297,5364,24032
863079547188785154,1119,8844
863062471531167744,2509,8615
862831371563274240,5186,19353
862722525377298433,3607,17243
862457590147678208,5063,20760
862096992088072192,23832,75412
861383897657036800,10942,36484
861288531465048066,4255,17384
861005113778896900,3895,16920
860563773140209665,2215,7602
860524505164394496,5406,23942
860276583193509888,3562,18539
860184849394610176,5983,16917
859924526012018688,4205,19808
859851578198683649,3605,15611
859607811541651456,1613,18856
859196978902773760,31096,91369
859074603037188101,14000,34405
858843525470990336,3576,15771
858471635011153920,4997,21846
858107933456039936,3009,15988
857989990357356544,2663,16385
857746408056729600,10982,34885
857393404942143489,1696,6018
857263160327368704,4676,20383
857029823797047296,4147,19306
856543823941562368,2981,16595
856526610513747968,1945,12079
856282028240666624,6556,28307
855459453768019968,8559,30637
854732716440526848,6379,23432
854482394044301312,7182,30093
854365224396361728,4896,19401
854120357044912130,7834,32838
853760880890318849,6076,29418
853639147608842240,10632,35924
853299958564483072,3744,15985
852912242202992640,1932,9339
852672615818899456,2268,15383
852553447878664193,3703,16908
852311364735569921,10419,34218
852226086759018497,7175,20675
852189679701164033,1670,11853
851591660324737024,3663,16757
851464819735769094,7475,25147
851224888060895234,6048,21422
850753642995093505,9820,32150
850380195714523136,2769,13535
850145622816686080,4053,16939
850019790995546112,5188,21237
849776966551130114,8053,31647
849412302885593088,3329,16498
849336543269576704,2000,11879
849051919805034497,9054,44182
848690551926992896,4585,26222
848324959059550208,4895,25765
848212111729840128,3271,17001
847962785489326080,5429,24491
847842811428974592,1431,5711
847606175596138505,3611,19575
847251039262605312,4573,21324
847157206088847362,6246,20850
847116187444137987,3401,22360
846874817362120707,4186,20975
846514051647705089,12407,46662
846153765933735936,9686,33134
846042936437604353,3088,16711
845812042753855489,9347,30668
845677943972139009,5115,26267
845397057150107648,1939,7983
845306882940190720,5774,24406
844979544864018432,2768,14270
844973813909606400,3440,15830
844704788403113984,11078,40568
844580511645339650,3370,17266
844223788422217728,2350,14287
843856843873095681,4962,22443
